*a,Α
a(brosi/a,ἁβροσία
a(brostagh/s,ἁβροσταγής
a(brosu/nh,ἁβροσύνη
a(bro/sfuros,ἁβρόσφυρος
a)brota/zw,ἀβροτάζω
a(bro/ths,ἁβρότης
a(bro/timos,ἁβρότιμος
a)broti/nh,ἀβροτίνη
a)broto/ninos,ἀβροτόνινος
a)brotoni/ths,ἀβροτονίτης
a)bro/tonon,ἀβρότονον
a)/brotos,ἄβροτος
a(broxai/ths,ἁβροχαίτης
a)broxe/w,ἀβροχέω
a)broxi/a,ἀβροχία
a)broxiko/s,ἀβροχικός
a)bro/xistos,ἀβρόχιστος
a)/broxos,ἄβροχος
a(broxi/twn,ἁβροχίτων
a(/bruna,ἅβρυνα
a(brunth/s,ἁβρυντής
a(bru/nw,ἁβρύνω
a)/brustos,ἄβρυστος
a(/brwma,ἅβρωμα
a)/brwmos,ἄβρωμος
*)/abrwn,Ἄβρων
a)brw/s,ἀβρώς
a)brwsi/a,ἀβρωσία
a)/brwtos,ἄβρωτος
*)/abudos,Ἄβυδος
a)bu/qhtos,ἀβύθητος
a)/buqos,ἄβυθος
a)bu/rbhlos,ἀβύρβηλος
a)bu/rseutos,ἀβύρσευτος
a)burta/kh,ἀβυρτάκη
a)burtakopoio/s,ἀβυρτακοποιός
a)burtakw/dhs,ἀβυρτακώδης
a)/bussos,ἄβυσσος
a)bw=,ἀβῶ
a)bwlo/kopos,ἀβωλόκοπος
a)/bwlos,ἄβωλος
a)bw/r,ἀβώρ
a)/bws,ἄβως
a)g,ἀγ
a)ga1,ἀγα1
a)/ga2,ἄγα2
a)ga/asqai,ἀγάασθαι
a)ga/zhloi,ἀγάζηλοι
a)ga/zw,ἀγάζω
a)gaqa/ggelos,ἀγαθάγγελος
a)gaqai/nw,ἀγαθαίνω
a)gaqei/kelos,ἀγαθείκελος
a)gaqi/dion,ἀγαθίδιον
a)gaqiko/s,ἀγαθικός
a)gaqi/s,ἀγαθίς
a)gaqogoni/a,ἀγαθογονία
a)gaqodaimone/w,ἀγαθοδαιμονέω
a)gaqodaimonhtiko/s,ἀγαθοδαιμονητικός
a)gaqodaimonistai/,ἀγαθοδαιμονισταί
a)gaqodaimoniastai/,ἀγαθοδαιμονιασταί
a)gaqodai/mwn,ἀγαθοδαίμων
a)gaqodosi/a,ἀγαθοδοσία
a)gaqodo/ths,ἀγαθοδότης
a)gaqoeidh/s,ἀγαθοειδής
a)gaqoergasi/a,ἀγαθοεργασία
a)gaqoerge/w,ἀγαθοεργέω
