*a,Α
kalama/rion,καλαμάριον
kalamau/lhs,καλαμαύλης
kalamaulhth/s,καλαμαυλητής
kala/maulos,καλάμαυλος
kalamei/a,καλαμεία
kalameifuh/,καλαμειφυή
kalameu/s,καλαμεύς
kalameuth/s,καλαμευτής
kalamew/n,καλαμεών
kala/mh,καλάμη
kalamhdo/n,καλαμηδόν
kala/mhma,καλάμημα
kalamhtomi/a,καλαμητομία
kalamhto/mos,καλαμητόμος
kalamh/tria,καλαμήτρια
kalamhtri/s,καλαμητρίς
kalamhfa/gos,καλαμηφάγος
kalamhfore/w,καλαμηφορέω
kalamhfo/ros,καλαμηφόρος
kalami/a,καλαμία
kalami/zw,καλαμίζω
kalamiko/s,καλαμικός
kalami/ndar,καλαμίνδαρ
kalami/nqh,καλαμίνθη
kalaminqi/nh,καλαμινθίνη
*kalami/nqios,Καλαμίνθιος
kalaminqi/ths,καλαμινθίτης
kala/minqos,καλάμινθος
kalaminqw/dhs,καλαμινθώδης
kala/minos,καλάμινος
kala/mion,καλάμιον
kalami/s,καλαμίς
kalami/skos,καλαμίσκος
kala/mistros,καλάμιστρος
kalami/ths,καλαμίτης
kalami=tis,καλαμῖτις
kalamobo/as,καλαμοβόας
kalamoglufe/w,καλαμογλυφέω
kalamoglu/fos,καλαμογλύφος
kalamografi/a,καλαμογραφία
kalamodu/ths,καλαμοδύτης
kalamoeidh/s,καλαμοειδής
kalamo/eis,καλαμόεις
kalamoqh/kh,καλαμοθήκη
kalamoqh/ras,καλαμοθήρας
kalamokentri=tis,καλαμοκεντρῖτις
kalamoko/pion,καλαμοκόπιον
kalamoko/pos,καλαμοκόπος
kalamo/krinon,καλαμόκρινον
kalamopw/lhs,καλαμοπώλης
ka/lamos,κάλαμος
kalamostasi/a,καλαμοστασία
kalamostefh/s,καλαμοστεφής
kalamosfa/kths,καλαμοσφάκτης
kalamo/tomos,καλαμότομος
kalamotu/por,καλαμοτύπορ
kalamourge/w,καλαμουργέω
kalamo/fqoggos,καλαμόφθογγος
kalamofo/ros,καλαμοφόρος
kalamo/fullos,καλαμόφυλλος
kalamo/xnoos,καλαμόχνοος
kalamo/w,καλαμόω
kalamw/dhs,καλαμώδης
kalamw/n,καλαμών
kalamwth/,καλαμωτή
kala/ndai,καλάνδαι
ka/landros,κάλανδρος
kala/ni,καλάνι
kalanti/wn,καλαντίων
*kalaoi/dia,Καλαοίδια
kala/pous,καλάπους
kalapo/dion,καλαπόδιον
kalari=nes,καλαρῖνες
ka/laris,κάλαρις
kalarrugai/,καλαρρυγαί
kala/siris,καλάσιρις
kalasi/rita,καλασίριτα
kalaunei=,καλαυνεῖ
*kalau/reia,Καλαύρεια
kalauro/pion,καλαυρόπιον
kalauro/fis,καλαυρόφις
kalau=roy,καλαῦροψ
ka/lafos,κάλαφος
kalba/teinos,καλβάτεινος
kale/as,καλέας
kaleia/s,καλειάς
kalesa/ndra,καλεσάνδρα
ka/lesis,κάλεσις
kalesi/xoros,καλεσίχορος
kalesth/s,καλεστής
kaleu/ein,καλεύειν
kale/w,καλέω
ka/lh,κάλη
kalh/gion,καλήγιον
kalh/zw,καλήζω
kalh/meros,καλήμερος
ka/lhmi,κάλημι
kalh/twr,καλήτωρ
kalia/,καλιά
kalia/dion,καλιάδιον
kalia/s,καλιάς
kali/gion,καλίγιον
kali/dion,καλίδιον
kalido/w,καλιδόω
kali/zomai,καλίζομαι
ka/liqos,κάλιθος
ka/lika,κάλικα
kali/kioi,καλίκιοι
ka/likon,κάλικον
kalinde/omai,καλινδέομαι
kalindh/qra,καλινδήθρα
kali/ndhsis,καλίνδησις
ka/linos,κάλινος
ka/lion,κάλιον
kalio/s,καλιός
kalio/teros,καλιότερος
kali/s,καλίς
kali/stra,καλίστρα
kalistre/w,καλιστρέω
kaliw=sai,καλιῶσαι
ka/lkios,κάλκιος
ka/lla1,κάλλα1
ka/nna1,κάννα1
kalla/2,καλλά2
*kallabi/s,Καλλαβίς
kallainiopoioi=s,καλλαινιοποιοῖς
kalla/i+nos,καλλάϊνος
ka/llaion,κάλλαιον
ka/llai+s,κάλλαϊς
kallamba/nw,καλλαμβάνω
kallari/as,καλλαρίας
kallaroi/,καλλαροί
kalli^,καλλι^
kallia/zw,καλλιάζω
kalliari/a,καλλιαρία
kalli/as,καλλίας
kalliastra/galos,καλλιαστράγαλος
kalliba/ntes,καλλιβάντες
kallible/faros,καλλιβλέφαρος
kallibo/as,καλλιβόας
kalli/bolos,καλλίβολος
kalli/botos,καλλίβοτος
kalli/botrus,καλλίβοτρυς
kalli/bwlos,καλλίβωλος
kalliga/lhnos,καλλιγάληνος
kalli/gamos,καλλίγαμος
kallige/neqlos,καλλιγένεθλος
kallige/neia,καλλιγένεια
kallige/furos,καλλιγέφυρος
kalli/gloutos,καλλίγλουτος
kalli/gonos,καλλίγονος
kalligrafe/w,καλλιγραφέω
kalligrafi/a,καλλιγραφία
kalligrafiko/s,καλλιγραφικός
kalli/grafos,καλλίγραφος
kalligu/naic,καλλιγύναιξ
kalli/dendros,καλλίδενδρος
kallidi/nhs,καλλιδίνης
kalli/difros,καλλίδιφρος
kallido/nac,καλλιδόναξ
kallidw/ra,καλλιδώρα
kallie/qeiros,καλλιέθειρος
kallie/laios,καλλιέλαιος
kallie/peia,καλλιέπεια
kalliepe/omai,καλλιεπέομαι
kallieph/s,καλλιεπής
kallierge/w,καλλιεργέω
kalliergi/a,καλλιεργία
kalli/ergos,καλλίεργος
kalliere/w,καλλιερέω
kallie/rhma,καλλιέρημα
kallie/rhsis,καλλιέρησις
kallieri/a,καλλιερία
kallizugh/s,καλλιζυγής
kalli/zwnos,καλλίζωνος
kalliqe/meqlos,καλλιθέμεθλος
ka/lliqric,κάλλιθριξ
kalliqute/w,καλλιθυτέω
kalli/qutos,καλλίθυτος
kallikarpe/w,καλλικαρπέω
kallikarpi/a,καλλικαρπία
kalli/karpos,καλλίκαρπος
kallike/lados,καλλικέλαδος
kallike/ras,καλλικέρας
kallike/rws,καλλικέρως
kalli/klion,καλλίκλιον
kalli/kokkos,καλλίκοκκος
kallikolw/nh,καλλικολώνη
kalliko/mas,καλλικόμας
kalli/komos,καλλίκομος
kallikottabe/w,καλλικοτταβέω
kalli/kreas,καλλίκρεας
kallikrh/demnos,καλλικρήδεμνος
kalli/krhnos,καλλίκρηνος
kalli/krita,καλλίκριτα
kalli/ktitos,καλλίκτιτος
kallilampe/ths,καλλιλαμπέτης
kallilekte/w,καλλιλεκτέω
kallileci/a,καλλιλεξία
kalliloge/w,καλλιλογέω
kallilogi/a,καλλιλογία
kallima/rtus,καλλιμάρτυς
kalli/maxos,καλλίμαχος
kalli/mhros,καλλίμηρος
kalli/morfos,καλλίμορφος
ka/llimos,κάλλιμος
kalli/naos,καλλίναος
kalli/nikos,καλλίνικος
kallioini/a,καλλιοινία
ka/llion1,κάλλιον1
ka/llion2,κάλλιον2
*kallio/ph,Καλλιόπη
kalliopli/a,καλλιοπλία
kalli/oulos,καλλίουλος
kalliourge/w,καλλιουργέω
kalliou/rghma,καλλιούργημα
kallio/w,καλλιόω
kalli/pais,καλλίπαις
kallipa/rhos,καλλιπάρηος
kallipa/rqenos,καλλιπάρθενος
ka/llipe,κάλλιπε
kallipe/dilos,καλλιπέδιλος
kalli/peplos,καλλίπεπλος
kallipe/talon,καλλιπέταλον
kallipe/thlos,καλλιπέτηλος
kalli/phxus,καλλίπηχυς
kalliplo/kamos,καλλιπλόκαμος
kalli/ploutos,καλλίπλουτος
kalli/pnoos,καλλίπνοος
kalli/polis,καλλίπολις
ka/llipon,κάλλιπον
ka/llipo/tamos,κάλλιπόταμος
kalli/pous,καλλίπους
kallipro/batos,καλλιπρόβατος
kallipro/swpos,καλλιπρόσωπος
kalli/prw|ros,καλλίπρῳρος
kalli/pugos,καλλίπυγος
kalli/pulos,καλλίπυλος
kalli/purgos,καλλίπυργος
kallipu/rgwtos,καλλιπύργωτος
kalli/puros,καλλίπυρος
kalli/pwlos,καλλίπωλος
kallire/eqros,καλλιρέεθρος
kalli/roos,καλλίροος
kalli/rrabdos,καλλίρραβδος
kallirrhmone/w,καλλιρρημονέω
kallirrhmosu/nh,καλλιρρημοσύνη
kallirrh/mwn,καλλιρρήμων
kalli/rroos,καλλίρροος
kallista/dios,καλλιστάδιος
kallista/fulos,καλλιστάφυλος
kallistei=on,καλλιστεῖον
kalli/sternos,καλλίστερνος
kalli/steuma,καλλίστευμα
kallisteu/w,καλλιστεύω
kalliste/fanos,καλλιστέφανος
ka/llistos,κάλλιστος
kallistrateu/w,καλλιστρατεύω
kallistrou/qia,καλλιστρούθια
kalli/sfuros,καλλίσφυρος
kallitekne/w,καλλιτεκνέω
kallitekni/a,καλλιτεκνία
kalli/teknos,καλλίτεκνος
kallite/xnhs,καλλιτέχνης
kallitexni/a,καλλιτεχνία
kalli/texnos,καλλίτεχνος
kallito/keia,καλλιτόκεια
kalli/tokos,καλλίτοκος
kalli/tocos,καλλίτοξος
kallitra/pezos,καλλιτράπεζος
kalli/trixon,καλλίτριχον
kalli/trixos,καλλίτριχος
kallifeggh/s,καλλιφεγγής
kalli/fqoggos,καλλίφθογγος
ka/llifloc,κάλλιφλοξ
kallifuh/s,καλλιφυής
kalli/fullon,καλλίφυλλον
kalli/fullos,καλλίφυλλος
kalli/futos,καλλίφυτος
kallifwne/w,καλλιφωνέω
kallifwni/a,καλλιφωνία
kalli/fwnos,καλλίφωνος
kalli/fws,καλλίφως
kalli/xeir,καλλίχειρ
*xe/lwnos,Χέλωνος
ka/llixqus,κάλλιχθυς
kalli/xoiros,καλλίχοιρος
*xoros2,Χορος
*xroos2,Χροος
kalli/wn,καλλίων
kalliw/numos,καλλιώνυμος
kallona/rion,καλλονάριον
kallonh/,καλλονή
kallopoio/s,καλλοποιός
ka/llos,κάλλος
kallosu/nh,καλλοσύνη
ka/llunqron,κάλλυνθρον
kallunth/rios,καλλυντήριος
kallunth/s,καλλυντής
ka/lluntron,κάλλυντρον
kallu/nw,καλλύνω
ka/llusma,κάλλυσμα
kallwpi/zw,καλλωπίζω
kallw/pisma,καλλώπισμα
kallwpismo/s,καλλωπισμός
kallwpistei/a,καλλωπιστεία
kallwpisth/s,καλλωπιστής
kallwpi/stria,καλλωπίστρια
kallwso/n,καλλωσόν
kaloago/rastos,καλοαγόραστος
kaloba/mwn,καλοβάμων
kalobate/w,καλοβατέω
kaloba/ths,καλοβάτης
kalo/bios,καλόβιος
kalobouli/a,καλοβουλία
kaloge/neios,καλογένειος
kalo/ghros,καλόγηρος
kalo/ghrus,καλόγηρυς
kalognw/mwn,καλογνώμων
kalodida/skalos,καλοδιδάσκαλος
kaloeidh/s,καλοειδής
kaloe/rgastos,καλοέργαστος
kaloerge/tis,καλοεργέτις
kaloergo/s,καλοεργός
kaloeth/s,καλοετής
kaloh/qhs,καλοήθης
kaloqe/leia,καλοθέλεια
kaloqelh/s,καλοθελής
ka/loqric,κάλοθριξ
kalo/i+s,καλόϊς
kaloiw/nistos,καλοιώνιστος
kaloka)gaqe/w,καλοκἀγαθέω
kaloka)gaqi/a,καλοκἀγαθία
kaloka)gaqiko/s,καλοκἀγαθικός
kaloka)/gaqos,καλοκἄγαθος
kalokairi/a,καλοκαιρία
kalokairiano/s,καλοκαιριανός
kalokairino/s,καλοκαιρινός
kalo/kairos,καλόκαιρος
kaloka/rfwtos,καλοκάρφωτος
kaloke/rastos,καλοκέραστος
kalokope/w,καλοκοπέω
kalola/i+gc,καλολάϊγξ
kalologe/w,καλολογέω
ka=lon,κᾶλον
kalo/nhs,καλόνης
kalopai/kths,καλοπαίκτης
kalope/dila,καλοπέδιλα
kaloplo/kos,καλοπλόκος
kalopo/dion,καλοπόδιον
kalopoie/w,καλοποιέω
kalopoio/s,καλοποιός
kalo/pous1,καλόπουσ
kalo/pous2,καλόπους
kalopou/s3,καλοπούϲ
kaloprage/w,καλοπραγέω
kalopragi/a,καλοπραγία
kalopro/swpos,καλοπρόσωπος
kalorrhmosu/nh,καλορρημοσύνη
ka/los1,κάλοσ
kalo/s2,καλός
kalosu/mboulos,καλοσύμβουλος
kalosu/ntuxos,καλοσύντυχος
kalosxhmati/zomai,καλοσχηματίζομαι
kalotexni/a,καλοτεχνία
kalo/ths,καλότης
kaloti/qhnos,καλοτίθηνος
kalo/tropos,καλότροπος
kalo/trofos,καλότροφος
kalotu/pos,καλοτύπος
kalou/+fantos,καλοΰφαντος
kalo/filos,καλόφιλος
kalofo/ros,καλοφόρος
kalo/frwn,καλόφρων
kalo/fullos,καλόφυλλος
kalo/yuxos,καλόψυχος
kalpa/zw,καλπάζω
kalpasmo/s,καλπασμός
ka/lpasos,κάλπασος
ka/lph1,κάλπη1
ka/lph2,κάλπη2
ka/lpion,κάλπιον
ka/lpis,κάλπις
ka/ltios,κάλτιος
kalubeu/s,καλυβεύς
kalu/bh,καλύβη
kalu/bion,καλύβιον
kalubi/ths,καλυβίτης
kalubopoie/omai,καλυβοποιέομαι
kalubopoii/+a,καλυβοποιΐα
kalubo/s,καλυβός
ka/luges,κάλυγες
kalu/drion,καλύδριον
kaluka/nqemon,καλυκάνθεμον
kalu/keios,καλύκειος
kalu/kh,καλύκη
kaluki/zein,καλυκίζειν
kalu/kion,καλύκιον
kalukoste/fanos,καλυκοστέφανος
kalukw/dhs,καλυκώδης
kalukw=pis,καλυκῶπις
ka/lumma,κάλυμμα
kalumma/tion,καλυμμάτιον
ka/luc,κάλυξ
ka/lucis,κάλυξις
kalu/pteira,καλύπτειρα
kalupth/r,καλυπτήρ
kalupthri/zw,καλυπτηρίζω
kalupthria/zw,καλυπτηριάζω
kalupth/rion,καλυπτήριον
kalu/pths,καλύπτης
kalupto/s,καλυπτός
ka/luptra,κάλυπτρα
kalu/ptw,καλύπτω
kalufh/,καλυφή
kalu/fion,καλύφιον
ka/luy,κάλυψ
ka/luyis,κάλυψις
*kaluyw/,Καλυψώ
kalxai/nw,καλχαίνω
*ka/lxas,Κάλχας
ka/lxh,κάλχη
ka/lxion,κάλχιον
kalw/|dion,καλῴδιον
kalwnume/omai,καλωνυμέομαι
kalw/numos,καλώνυμος
kalwpo/s,καλωπός
kalw=s1,καλῶσ
ka/lws2,κάλως
kalwstro/fos,καλωστρόφος
ka/m,κάμ
kamaki/as,καμακίας
kama/kinos,καμάκινος
kama/kion,καμάκιον
kama/n,καμάν
ka/mac,κάμαξ
kama/ra,καμάρα
kamareu/w,καμαρεύω
kamariko/s,καμαρικός
kamarika/,καμαρικά
kamarinw=s,καμαρινῶς
kama/rion,καμάριον
kamari/s,καμαρίς
kamaroeidh/s,καμαροειδής
ka/maros,κάμαρος
kamaro/w,καμαρόω
kama/rwma,καμάρωμα
kama/rwsis,καμάρωσις
kamarwtiko/s,καμαρωτικός
kamarwto/s,καμαρωτός
kamash=nes,καμασῆνες
kama/sion,καμάσιον
kamaso/s,καμασός
kama/ssw,καμάσσω
kamasti/s,καμαστίς
kamata/w,καματάω
kamateu/w,καματεύω
kamathdo/n,καματηδόν
kamathro/s,καματηρός
ka/matos,κάματος
kamatw/ddhs,καματώδδης
kambathqei/s,καμβατηθείς
kamboli/ai,καμβολίαι
ka/me,κάμε
ka/mhla,κάμηλα
kamhla/rios,καμηλάριος
kamhlasi/a,καμηλασία
kamhla/sion,καμηλάσιον
kamhla/ths,καμηλάτης
kamh/leios,καμήλειος
kamhle/mporos,καμηλέμπορος
kamhli/zw,καμηλίζω
kamhliko/s,καμηλικός
kamh/lion,καμήλιον
kamhli/ths,καμηλίτης
kamhlobosko/s,καμηλοβοσκός
kamhloko/mos,καμηλοκόμος
kamhlopa/rdalis,καμηλοπάρδαλις
kamhlopo/dion,καμηλοπόδιον
ka/mhlos,κάμηλος
kamhlotrofe/w,καμηλοτροφέω
kamhlotro/fos,καμηλοτρόφος
kamhlw/dhs,καμηλώδης
kamhlw/n,καμηλών
ka/milos,κάμιλος
kaminai/a,καμιναία
kaminai=os,καμιναῖος
kaminei/a,καμινεία
kamineu/s,καμινεύς
kamineuth/r,καμινευτήρ
kamineuth/s,καμινευτής
kamineutiko/s,καμινευτικός
kamineu/w,καμινεύω
kami/nh,καμίνη
kami/nion,καμίνιον
kami/nios,καμίνιος
kamini/ths,καμινίτης
kamini/wn,καμινίων
kaminografi/a,καμινογραφία
kami/noqen,καμίνοθεν
kaminokau/sths,καμινοκαύστης
ka/minos,κάμινος
kaminw/,καμινώ
kaminw/dhs,καμινώδης
kami/sion,καμίσιον
ka/mma,κάμμα
ka/mmaros,κάμμαρος
ka/mmaryis,κάμμαρψις
kammati/des,καμματίδες
ka/mmei,κάμμει
kammoni/h,καμμονίη
ka/mmoron,κάμμορον
ka/mmoros,κάμμορος
ka/mmusis,κάμμυσις
kammu/w,καμμύω
ka/mnw,κάμνω
ka/moros,κάμορος
kampagw/n,καμπαγών
kampale/os,καμπαλέος
kampani/zw,καμπανίζω
ka/mpanos,κάμπανος
kampesi/gounos,καμπεσίγουνος
kampesi/guios,καμπεσίγυιος
kamph/1,καμπή1
ka/mph2,κάμπη2
ka/mpimos,κάμπιμος
ka/mpos,κάμπος
kampth/r,καμπτήρ
kampthri/a,καμπτηρία
kamptiko/s,καμπτικός
kampto/s,καμπτός
ka/mptra,κάμπτρα
ka/mptron,κάμπτρον
kamptropoio/s,καμπτροποιός
kamptrofo/ros,καμπτροφόρος
ka/mptw,κάμπτω
kampu/lh,καμπύλη
kampulia/zw,καμπυλιάζω
kampu/llw,καμπύλλω
kampuleu/omai,καμπυλεύομαι
kampuloeidh/s,καμπυλοειδής
kampulo/eis,καμπυλόεις
kampulo/omai,καμπυλόομαι
kampulo/prumnos,καμπυλόπρυμνος
kampulo/rrin,καμπυλόρριν
kampu/los,καμπύλος
kampulosalpisth/s,καμπυλοσαλπιστής
kampulo/ths,καμπυλότης
kampu/loxos,καμπύλοχος
ka/mya,κάμψα
kamya/nema,καμψάνεμα
kamya/rios,καμψάριος
ka/myh,κάμψη
kamyidi/aulos,καμψιδίαυλος
kamyiki/zw,καμψικίζω
kamyi/ouros,καμψίουρος
kamyi/pous,καμψίπους
ka/myis,κάμψις
kamyo/s,καμψός
ka/mwn,κάμων
ka/n,κάν
ka)/n,κἄν
kana/beuma,κανάβευμα
kana/binos,κανάβινος
kanabiourgo/s,καναβιουργός
ka/nabos,κάναβος
ka/nadoi,κάναδοι
ka/naqron,κάναθρον
ka/nakis,κάνακις
ka/nasqon,κάνασθον
kana/ssw,κανάσσω
kanastrai=a,καναστραῖα
ka/nastron,κάναστρον
kanafo/ros,καναφόρος
kanaxe/w,καναχέω
kanaxh/,καναχή
kanaxhda/,καναχηδά
kanaxhdh/s,καναχηδής
kanaxhdo/n,καναχηδόν
kanaxh/pous,καναχήπους
kanaxa/poda,καναχάποδα
kanaxh/s,καναχής
kanaxi/zw,καναχίζω
kanaxo/s,καναχός
kandalisth/s,κανδαλιστής
ka/ndaloi,κάνδαλοι
*kandau/lhs,Κανδαύλης
ka/ndaulos,κάνδαυλος
kandh/lh,κανδήλη
kandofo/rous,κανδοφόρους
ka/ndus,κάνδυς
kandu/talis,κανδύταλις
ka/ndutos,κάνδυτος
ka/neion,κάνειον
ka/neon,κάνεον
kanh=n,κανῆν
ka/nhs,κάνης
kanh/tion,κανήτιον
kanhtopoio/s,κανητοποιός
kanhfore/w,κανηφορέω
kanhfori/a,κανηφορία
kanhforiko/s,κανηφορικός
kanh/foros,κανήφορος
kanqa/rews,κανθάρεως
kanqa/rios,κανθάριος
kanqa/rion,κανθάριον
kanqari/s,κανθαρίς
kanqari/ths,κανθαρίτης
kanqaropoio/s,κανθαροποιός
ka/nqaros,κάνθαρος
kanqarw/dhs,κανθαρώδης
kanqarw/leqros,κανθαρώλεθρος
kanqh/lh,κανθήλη
kanqh/lia,κανθήλια
kanqhliko/s,κανθηλικός
kanqh/lios,κανθήλιος
kanqi/ai,κανθίαι
kanqo/s,κανθός
kanqu/lh,κανθύλη
kanqw/dhs,κανθώδης
ka/nqwn,κάνθων
kani/as,κανίας
ka)/nis,κἄνις
kani/skion,κανίσκιον
ka/nistron,κάνιστρον
ka/nna2,κάννα2
kannaba/rios,κανναβάριος
kanna/binos,καννάβινος
kanna/bion,καννάβιον
ka/nnabis,κάνναβις
kannabi/ska,κανναβίσκα
ka/nnabos,κάνναβος
ka/nnaqron,κάνναθρον
kannoxersai/a,καννοχερσαία
*ka/nnwkos,Κάννωκος
kanoni/as,κανονίας
kanoni/zw,κανονίζω
kanonika/rios,κανονικάριος
kanoniko/s,κανονικός
kano/nion,κανόνιον
kanoni/s,κανονίς
kano/nisma,κανόνισμα
kanonismo/s,κανονισμός
kanoniste/on,κανονιστέον
kanonistiko/s,κανονιστικός
kanonografi/a,κανονογραφία
kanonwto/s,κανονωτός
ka/ntores,κάντορες
kanusi=nos,κανυσῖνος
ka/nustron,κάνυστρον
*ka/nwbos,Κάνωβος
kanw/n,κανών
*kanwpiko/n,Κανωπικόν
ka/nwpon,κάνωπον
*ka/nwpos,Κάνωπος
ka/os,κάος
ka/p,κάπ
kapai=os,καπαῖος
kapaleuth/s,καπαλευτής
kapa/nh,καπάνη
kapanh=tai,καπανῆται
kapaniko/s,καπανικός
kapanoi,καπανοι
kapardeu=sai,καπαρδεῦσαι
kapa/rion,καπάριον
ka\pata=,κὰπατᾶ
kape/tis,καπέτις
ka/peton,κάπετον
ka/petos,κάπετος
*kapetw/lion,Καπετώλιον
ka/ph,κάπη
kaphlei/a,καπηλεία
kaphlei=on,καπηλεῖον
kaphleutiko/s,καπηλευτικός
kaphleu/w,καπηλεύω
kaph/lh,καπήλη
kaphliko/s,καπηλικός
kaph/lion,καπήλιον
kaphli/s,καπηλίς
kaphlogei/twn,καπηλογείτων
kaphlodu/ths,καπηλοδύτης
ka/phlos,κάπηλος
kaph/ltia,καπήλτια
ka/pia,κάπια
kapi/qh,καπίθη
kapi/strion,καπίστριον
kapnau/ghs,καπναύγης
ka/pneios,κάπνειος
kapnei/w,καπνείω
kapne/laion,καπνέλαιον
ka/pneos,κάπνεος
ka/pnh,κάπνη
kapnhlo/s,καπνηλός
kapni/a,καπνία
kapniai=os,καπνιαῖος
kapni/as,καπνίας
kapnia/w,καπνιάω
kapni/zw,καπνίζω
ka/pnios,κάπνιος
ka/pnisis,κάπνισις
ka/pnisma,κάπνισμα
kapniste/on,καπνιστέον
kapnisth/rion,καπνιστήριον
kapnisto/s,καπνιστός
kapni/ths,καπνίτης
kapnoba/ths,καπνοβάτης
kapnogo/rgion,καπνογόργιον
kapnodo/kh,καπνοδόκη
kapnodoxei=on,καπνοδοχεῖον
kapnodo/xos,καπνοδόχος
kapnoeidh/s,καπνοειδής
kapnokortua/zomai,καπνοκορτυάζομαι
kapno/mantis,καπνόμαντις
kapno/omai,καπνόομαι
kapnoo/n,καπνοόν
kapnopoio/s,καπνοποιός
kapno/s,καπνός
kapnosfra/nths,καπνοσφράντης
kapnou=xos,καπνοῦχος
kapnw/dhs,καπνώδης
kapnwth/rion,καπνωτήριον
ka=pos1,κᾶποσ
ka/pos2,κάπος
ka/ppa,κάππα
*kappado/kai,Καππαδόκαι
kappa/rion,καππάριον
ka/pparis,κάππαρις
ka/pparos,κάππαρος
ka/ppaston,κάππαστον
ka/ppeson,κάππεσον
kappuri/zw,καππυρίζω
*kappw/tas,Καππώτας
ka/pra,κάπρα
ka/praina,κάπραινα
kapra/w,καπράω
ka/preios,κάπρειος
kapri/a,καπρία
kapria/w,καπριάω
kapri/dion,καπρίδιον
kapri/zw,καπρίζω
kapri/olos,καπρίολος
ka/prios,κάπριος
kapri/skos,καπρίσκος
kaprobo/l&lt;i&gt;on,καπροβόλ&λτ;ι&γτ;ον
ka/pros,κάπρος
kaprosu/rh,καπροσύρη
kaprofa/gos,καπροφάγος
kaprofo/nos,καπροφόνος
kaprw/|zomai,καπρῴζομαι
kaprw/n,καπρών
kaptri/on,καπτρίον
ka/ptron,κάπτρον
ka/ptw,κάπτω
kapukta/,καπυκτά
kapuri/dia,καπυρίδια
kapuri/zw,καπυρίζω
ka/puris,κάπυρις
kapuristh/s,καπυριστής
kapuro/omai,καπυρόομαι
kapuro/s,καπυρός
kapurw/dhs,καπυρώδης
ka/pus,κάπυς
kapu/w,καπύω
ka/pwn,κάπων
ka/r1,κάρ1
ka/r2,κάρ2
ka=r3,κᾶρ3
*ka/r,Κάρ
ka/ra1,κάρα1
ka/ra2,κάρα2
kara/bion,καράβιον
karabi/s,καραβίς
karaboeidh/s,καραβοειδής
karabopro/swpos,καραβοπρόσωπος
ka/rabos,κάραβος
karabw/dhs,καραβώδης
ka/ragos,κάραγος
karadoke/w,καραδοκέω
karadokhth/s,καραδοκητής
karadoki/a,καραδοκία
karaibara/w,καραιβαράω
*karaio/s,Καραιός
kara/kallon,καράκαλλον
kara/mbas,καράμβας
kara/mbios,καράμβιος
karanisth/r,καρανιστήρ
ka/rannos,κάραννος
ka/ranon,κάρανον
ka/ranos,κάρανος
karano/w,καρανόω
karanw/,καρανώ
karatome/w,καρατομέω
kara/tomos,καράτομος
karba/|zw,καρβᾴζω
ka/rbanos,κάρβανος
karba/reoi,καρβάρεοι
*ka/rbas,Κάρβας
karba/tinos,καρβάτινος
karbatiw/n,καρβατιών
ka/rbis,κάρβις
ka/rbwn,κάρβων
ka/rdakes,κάρδακες
kardama/lh,καρδαμάλη
kardami/zw,καρδαμίζω
kardami/nh,καρδαμίνη
kardami/s,καρδαμίς
ka/rdamon,κάρδαμον
kardamu/ssw,καρδαμύσσω
karda/mwmon,καρδάμωμον
karda/nh,καρδάνη
kardi/a,καρδία
kardiako/s,καρδιακός
kardialge/w,καρδιαλγέω
kardialgh/s,καρδιαλγής
kardialgi/a,καρδιαλγία
kardialgiko/s,καρδιαλγικός
kardia=tis,καρδιᾶτις
kardia/w,καρδιάω
kardihbole/w,καρδιηβολέω
kardiko/s,καρδικός
kardiobole/omai,καρδιοβολέομαι
kardiobo/los,καρδιοβόλος
kardiognw/sths,καρδιογνώστης
kardio/daitos,καρδιόδαιτος
kardio/dhktos,καρδιόδηκτος
kardioeidh/s,καρδιοειδής
ka/rdion,κάρδιον
kardio/plhktos,καρδιόπληκτος
kardio/ths,καρδιότης
kardio/trwtos,καρδιότρωτος
kardioulke/w,καρδιουλκέω
kardioulki/a,καρδιουλκία
kardiourge/w,καρδιουργέω
kardiofu/lac,καρδιοφύλαξ
kardio/w,καρδιόω
kardiwgmo/s,καρδιωγμός
kardiw/ssw,καρδιώσσω
kardopei=on,καρδοπεῖον
kardopoglu/fos,καρδοπογλύφος
ka/rdopos,κάρδοπος
ka/rdos,κάρδος
kare/a,καρέα
ka/reion,κάρειον
*ka/reios,Κάρειος
ka/rza,κάρζα
karhbare/w,καρηβαρέω
karhbarh/s,καρηβαρής
karhba/rhsis,καρηβάρησις
karhbari/a,καρηβαρία
karhbariko/s,καρηβαρικός
karhkomo/wntes,καρηκομόωντες
karh=nai,καρῆναι
ka/rhnon,κάρηνον
ka/rhtos,κάρητος
karqmo/s,καρθμός
ka/rqra,κάρθρα
ka/ri,κάρι
karida/rion,καριδάριον
karido/w,καριδόω
kari/ento,καρίεντο
*kari/zw,Καρίζω
*karikoergh/s,Καρικοεργής
*kariko/s,Καρικός
karimoi/rous,καριμοίρους
*kari/nh,Καρίνη
*karino/s,Καρινός
kario/qreptos,καριόθρεπτος
*ka/rios,Κάριος
kario/w,καριόω
kari/s,καρίς
ka/riso,κάρισο
*karisti/,Καριστί
*kari/wn,Καρίων
karka/dwn,καρκάδων
karkai/rw,καρκαίρω
ka/rkara,κάρκαρα
karkari/s,καρκαρίς
ka/rkaron,κάρκαρον
karkina/s,καρκινάς
karkineuth/s,καρκινευτής
karki/nhqron,καρκίνηθρον
karkini/as,καρκινίας
